run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220530-23:05:10-80931,runattr,,,configname,General,,
General-0-20220530-23:05:10-80931,runattr,,,datetime,20220530-23:05:10,,
General-0-20220530-23:05:10-80931,runattr,,,datetimef,20220530-230510,,
General-0-20220530-23:05:10-80931,runattr,,,experiment,General,,
General-0-20220530-23:05:10-80931,runattr,,,inifile,omnetpp.ini,,
General-0-20220530-23:05:10-80931,runattr,,,iterationvars,,,
General-0-20220530-23:05:10-80931,runattr,,,iterationvarsd,,,
General-0-20220530-23:05:10-80931,runattr,,,iterationvarsf,,,
General-0-20220530-23:05:10-80931,runattr,,,measurement,,,
General-0-20220530-23:05:10-80931,runattr,,,network,Network,,
General-0-20220530-23:05:10-80931,runattr,,,processid,80931,,
General-0-20220530-23:05:10-80931,runattr,,,repetition,0,,
General-0-20220530-23:05:10-80931,runattr,,,replication,#0,,
General-0-20220530-23:05:10-80931,runattr,,,resultdir,results,,
General-0-20220530-23:05:10-80931,runattr,,,runnumber,0,,
General-0-20220530-23:05:10-80931,runattr,,,seedset,0,,
General-0-20220530-23:05:10-80931,config,,,network,Network,,
General-0-20220530-23:05:10-80931,config,,,sim-time-limit,200s,,
General-0-20220530-23:05:10-80931,config,,,Network.nodeTx.gen.generationInterval,exponential(0.9),,
General-0-20220530-23:05:10-80931,config,,,Network.**.serviceTime,exponential(0.001),,
General-0-20220530-23:05:10-80931,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20220530-23:05:10-80931,config,,,Network.queue.bufferSize,200,,
General-0-20220530-23:05:10-80931,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20220530-23:05:10-80931,config,,,Network.nodeTx.queue.bufferSize,2000000,,
