run,type,module,name,attrname,attrvalue,vectime,vecvalue
General-0-20220530-23:04:34-80816,runattr,,,configname,General,,
General-0-20220530-23:04:34-80816,runattr,,,datetime,20220530-23:04:34,,
General-0-20220530-23:04:34-80816,runattr,,,datetimef,20220530-230434,,
General-0-20220530-23:04:34-80816,runattr,,,experiment,General,,
General-0-20220530-23:04:34-80816,runattr,,,inifile,omnetpp.ini,,
General-0-20220530-23:04:34-80816,runattr,,,iterationvars,,,
General-0-20220530-23:04:34-80816,runattr,,,iterationvarsd,,,
General-0-20220530-23:04:34-80816,runattr,,,iterationvarsf,,,
General-0-20220530-23:04:34-80816,runattr,,,measurement,,,
General-0-20220530-23:04:34-80816,runattr,,,network,Network,,
General-0-20220530-23:04:34-80816,runattr,,,processid,80816,,
General-0-20220530-23:04:34-80816,runattr,,,repetition,0,,
General-0-20220530-23:04:34-80816,runattr,,,replication,#0,,
General-0-20220530-23:04:34-80816,runattr,,,resultdir,results,,
General-0-20220530-23:04:34-80816,runattr,,,runnumber,0,,
General-0-20220530-23:04:34-80816,runattr,,,seedset,0,,
General-0-20220530-23:04:34-80816,config,,,network,Network,,
General-0-20220530-23:04:34-80816,config,,,sim-time-limit,200s,,
General-0-20220530-23:04:34-80816,config,,,Network.nodeTx.gen.generationInterval,exponential(0.8),,
General-0-20220530-23:04:34-80816,config,,,Network.**.serviceTime,exponential(0.001),,
General-0-20220530-23:04:34-80816,config,,,Network.nodeTx.gen.packetByteSize,12500,,
General-0-20220530-23:04:34-80816,config,,,Network.queue.bufferSize,200,,
General-0-20220530-23:04:34-80816,config,,,Network.nodeRx.queue.bufferSize,200,,
General-0-20220530-23:04:34-80816,config,,,Network.nodeTx.queue.bufferSize,2000000,,
