run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-0-20220527-11:33:40-2260,runattr,,,configname,General,,,
General-0-20220527-11:33:40-2260,runattr,,,datetime,20220527-11:33:40,,,
General-0-20220527-11:33:40-2260,runattr,,,experiment,General,,,
General-0-20220527-11:33:40-2260,runattr,,,inifile,omnetpp.ini,,,
General-0-20220527-11:33:40-2260,runattr,,,iterationvars,,,,
General-0-20220527-11:33:40-2260,runattr,,,iterationvarsf,,,,
General-0-20220527-11:33:40-2260,runattr,,,measurement,,,,
General-0-20220527-11:33:40-2260,runattr,,,network,Network,,,
General-0-20220527-11:33:40-2260,runattr,,,processid,2260,,,
General-0-20220527-11:33:40-2260,runattr,,,repetition,0,,,
General-0-20220527-11:33:40-2260,runattr,,,replication,#0,,,
General-0-20220527-11:33:40-2260,runattr,,,resultdir,results,,,
General-0-20220527-11:33:40-2260,runattr,,,runnumber,0,,,
General-0-20220527-11:33:40-2260,runattr,,,seedset,0,,,
General-0-20220527-11:33:40-2260,param,,,Network.nodeTx.gen.generationInterval,exponential(0.8),,,
General-0-20220527-11:33:40-2260,param,,,Network.**.serviceTime,exponential(0.001),,,
General-0-20220527-11:33:40-2260,param,,,Network.nodeTx.gen.packetByteSize,12500,,,
General-0-20220527-11:33:40-2260,param,,,Network.queue1.bufferSize,200,,,
General-0-20220527-11:33:40-2260,param,,,Network.queue2.bufferSize,200,,,
General-0-20220527-11:33:40-2260,param,,,Network.nodeRx.traRx.bufferSize,200,,,
General-0-20220527-11:33:40-2260,param,,,Network.nodeTx.traTx.bufferSize,200,,,
General-0-20220527-11:33:40-2260,vector,Network.nodeTx.traTx,,,,,"0.636699603653 1.35554791444 2.360292520878 3.847975890538 4.586554395715 6.147790664423 6.777551576409 8.280722819771 8.721561609107 9.503166750222 10.333694190753 10.72179672173 11.182212079236 11.464739390546 13.243558928175 13.290266663449 15.942196487392 16.196881400065 16.583763084024 17.103320162625 18.358437056723 19.696206016983 20.298345307633 20.82145136141 21.49299764373 21.892095250943 23.970698519622 25.417393931042 25.476342215414 25.805604612408 25.878533433307 26.714223439953 26.730563910672 27.097962420476 28.527952551227 31.048088494168 32.252715901078 32.37370058401 34.005951990364 35.638665763093 38.714843258406 39.228210596548 40.512402242197 41.803603902111 42.298747469812 42.886719006764 44.099947785956 45.008698939324 45.109398466874 46.129580628653 46.946726128132 47.644583084166 47.768366828566 48.38503455534 50.70057093773 51.837662681805 52.42792451521 52.517481443716 52.945934019898 53.459289781523 53.705114063245 53.870076688869 55.06068054947 56.128912697169 56.616178635715 56.811417428304 57.483685192794 57.599907614628 57.615082469989 57.92849911853 58.697603869783 58.82731306134 59.58491040308 59.78606394874 60.553702330635 60.944547970081 63.246879987103 65.110010686474 66.026121850234 66.504318711689 66.86073350773 67.620329174527 68.07995509992 69.941035949275 70.897922188841 70.981571169461 71.031263401834 73.831434349398 74.710564323439 75.557631628629 76.446109585179 76.596050437993 76.785015802859 77.139739025755 77.250161976498 78.361396128331 78.664565699757 79.413414947574 79.775096595754 80.089586641597 80.765128876419 80.796475401549 81.258334850194 82.063031654327 85.626629131268 88.180986444911 88.267094531436 89.113355662118 89.300796877138 90.107212273474 90.247943109814 94.536023390009 95.383017562084 96.080550244985 96.314214671599 96.742266413266 97.244619678059 97.759644479341 97.983866086124 98.765357345381 98.903859310298 99.233860294236 99.32742462207 100.225959263297 101.080417021017 101.385661695716 101.504631511118 102.709939777736 102.885044254942 105.274796168424 105.642807334616 106.511822839319 107.888088165492 107.899019828237 107.980735733457 108.760817280782 110.21667241621 111.112523908813 111.19335172906 114.052222426936 117.051447594604 118.735704635238 119.241573912355 119.811640787022 122.821182614625 122.867044155764 123.609826953285 124.089784462598 125.16518068032 125.181332782837 125.213313822084 125.679616533178 125.945544725949 129.058800824225 129.161246236474 129.51758180601 129.798522677515 130.323039705006 130.424150614146 131.357649435385 131.663810194474 133.363199952075 133.791107452681 135.794236879149 135.847274800335 136.0427911588 136.986142780452 137.652417593305 138.321295618881 139.923888036887 140.170619908965 140.739618258739 141.332225419097 143.320691304678 143.399611551413 145.43185515778 146.118171670639 146.187588056511 148.306992799452 148.567265131875 148.874113303154 148.881633903685 149.762310631758 151.240172752559 151.353237323408 152.186661846752 153.194608894839 154.667634872029 154.94095820565 155.18697238466 155.348852735514 155.754612834119 156.461116067686 157.104953987527 157.121203954564 157.265405756152 158.677998614082 159.047383330918 159.051148563312 159.177821768296 160.083929081874 160.758395507593 161.010172836277 161.983379759026 163.046386058026 163.318663448614 165.938777990786 166.39310131357 166.621918091576 167.750737619012 168.437451993275 168.840927038545 169.558199735174 171.369186595863 172.048563245115 172.86349022913 173.065426223443 174.842631742222 177.284457067729 178.196143438555 178.670242660517 179.147346175981 180.646114079867 183.720519346462 184.682310200259 184.781131518149 185.063547624768 186.229002471619 187.573740235256 187.998318232549 188.402333230753 189.302558844228 191.006158361082 191.236086741938 191.932515402999 192.233106476924 193.940970836911 196.632467199352 197.575973546268 198.286262674617 199.319790089658","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
